id,title,category_path,brand,price,stock,description,image_url,tags,attributes_json,source_platform,source_url,compare_url
shoes_001,步云 City Walk 全新休闲鞋,服装/鞋靴,步云,199,150,轻便休闲鞋，适合日常步行和通勤,https://example.com/images/shoes_001.jpg,"通勤舒适,轻便,百搭","{""尺码"": ""35-44"", ""材质"": ""织物拼接合成革"", ""鞋型"": ""低帮休闲鞋"", ""适用场景"": ""日常休闲"", ""鞋底材质"": ""EVA"", ""是否防滑"": ""是"", ""是否轻便"": ""是"", ""闭合方式"": ""系带""}",模拟导购数据,https://example.com/products/shoes_001,https://example.com/compare/shoes_001
shoes_002,步云 Office 全新通勤皮鞋,服装/鞋靴,步云,399,90,简洁通勤皮鞋，适合办公室穿着,https://example.com/images/shoes_002.jpg,"通勤舒适,耐穿,百搭","{""尺码"": ""38-44"", ""材质"": ""头层牛皮"", ""鞋型"": ""德比鞋"", ""适用场景"": ""商务通勤"", ""鞋底材质"": ""橡胶"", ""是否防滑"": ""是"", ""是否轻便"": ""否"", ""闭合方式"": ""系带""}",模拟导购数据,https://example.com/products/shoes_002,https://example.com/compare/shoes_002
shoes_003,轻旅 Runner 全新运动鞋,服装/鞋靴,轻旅,299,120,缓震运动鞋，适合慢跑和健走,https://example.com/images/shoes_003.jpg,"运动,轻便,适合步行","{""尺码"": ""36-45"", ""材质"": ""透气网面"", ""鞋型"": ""跑步鞋"", ""适用场景"": ""运动健走"", ""鞋底材质"": ""EVA+橡胶"", ""是否防滑"": ""是"", ""是否轻便"": ""是"", ""闭合方式"": ""系带""}",模拟导购数据,https://example.com/products/shoes_003,https://example.com/compare/shoes_003
shoes_004,山径 Trek 全新徒步鞋,服装/鞋靴,山径,599,70,防滑徒步鞋，适合轻户外路线,https://example.com/images/shoes_004.jpg,"防滑,耐穿,户外","{""尺码"": ""38-45"", ""材质"": ""防泼水织物"", ""鞋型"": ""低帮徒步鞋"", ""适用场景"": ""轻户外"", ""鞋底材质"": ""耐磨橡胶"", ""是否防滑"": ""是"", ""是否轻便"": ""否"", ""闭合方式"": ""系带""}",模拟导购数据,https://example.com/products/shoes_004,https://example.com/compare/shoes_004
shoes_005,晴川 Loafer 全新乐福鞋,服装/鞋靴,晴川,459,85,柔软乐福鞋，适合通勤和休闲穿搭,https://example.com/images/shoes_005.jpg,"百搭,通勤舒适,休闲","{""尺码"": ""35-40"", ""材质"": ""软面牛皮"", ""鞋型"": ""乐福鞋"", ""适用场景"": ""通勤休闲"", ""鞋底材质"": ""橡胶"", ""是否防滑"": ""是"", ""是否轻便"": ""是"", ""闭合方式"": ""套脚""}",模拟导购数据,https://example.com/products/shoes_005,https://example.com/compare/shoes_005
shoes_006,北岸 Retro 全新板鞋,服装/鞋靴,北岸,259,130,复古板鞋，适合日常穿搭,https://example.com/images/shoes_006.jpg,"休闲,百搭,耐穿","{""尺码"": ""36-44"", ""材质"": ""合成革"", ""鞋型"": ""低帮板鞋"", ""适用场景"": ""日常休闲"", ""鞋底材质"": ""橡胶"", ""是否防滑"": ""是"", ""是否轻便"": ""否"", ""闭合方式"": ""系带""}",模拟导购数据,https://example.com/products/shoes_006,https://example.com/compare/shoes_006
shoes_007,云走 Cushion 全新健步鞋,服装/鞋靴,云走,349,100,软弹健步鞋，适合长时间步行,https://example.com/images/shoes_007.jpg,"适合步行,轻便,通勤舒适","{""尺码"": ""35-45"", ""材质"": ""针织网面"", ""鞋型"": ""健步鞋"", ""适用场景"": ""通勤步行"", ""鞋底材质"": ""EVA"", ""是否防滑"": ""是"", ""是否轻便"": ""是"", ""闭合方式"": ""一脚蹬""}",模拟导购数据,https://example.com/products/shoes_007,https://example.com/compare/shoes_007
shoes_008,黑杉 Work 全新工装靴,服装/鞋靴,黑杉,699,50,结实工装靴，适合秋冬和户外穿搭,https://example.com/images/shoes_008.jpg,"耐穿,防滑,工装","{""尺码"": ""39-45"", ""材质"": ""牛皮革"", ""鞋型"": ""中帮工装靴"", ""适用场景"": ""秋冬户外"", ""鞋底材质"": ""厚底橡胶"", ""是否防滑"": ""是"", ""是否轻便"": ""否"", ""闭合方式"": ""系带""}",模拟导购数据,https://example.com/products/shoes_008,https://example.com/compare/shoes_008
shoes_009,白屿 Knit 全新轻便鞋,服装/鞋靴,白屿,229,140,透气针织鞋，适合夏季日常穿着,https://example.com/images/shoes_009.jpg,"轻便,清爽,休闲","{""尺码"": ""35-43"", ""材质"": ""飞织面料"", ""鞋型"": ""轻便休闲鞋"", ""适用场景"": ""夏季日常"", ""鞋底材质"": ""EVA"", ""是否防滑"": ""是"", ""是否轻便"": ""是"", ""闭合方式"": ""套脚""}",模拟导购数据,https://example.com/products/shoes_009,https://example.com/compare/shoes_009
shoes_010,凌跃 Court 全新篮球鞋,服装/鞋靴,凌跃,999,45,支撑型篮球鞋，适合室内外球场,https://example.com/images/shoes_010.jpg,"运动,防滑,支撑强","{""尺码"": ""39-46"", ""材质"": ""织物拼接 TPU"", ""鞋型"": ""中帮篮球鞋"", ""适用场景"": ""篮球运动"", ""鞋底材质"": ""耐磨橡胶"", ""是否防滑"": ""是"", ""是否轻便"": ""否"", ""闭合方式"": ""系带""}",模拟导购数据,https://example.com/products/shoes_010,https://example.com/compare/shoes_010
